DDCTransactionIdA720C9034420BC8A44F841A76903152C_0, GetCachedData, CacheKey=GSM_af1606fcec214373844d2b6cf9df71c8_PCD3D_SM5_3__BC5N_DEV_SL_NoDBuf_TLpvPropa__7305C0EAF30EBAE6EBBBE09D23B9982D28009564, StartTime=2015.11.29-16.52.03, HierarchicalDDC, DataSize=3015881 bytes, Retrieved=true, Duration=0.513822ms, RunGuid=RunIDE94475A94526F146B0B150BA374BCB8F
SavePackageTransactionId6BFC95004ADF91E15679FC85FA7ED5DF_54, Filename=C:/Users/Matt/Documents/GitHub/P3NGUIN/MyProject19/Saved/Cooked/WindowsNoEditor/Engine/Content/EngineSounds/Duck_Normal_Attack_MixMod.uasset, FlushAsyncLoading=0.003643ms, FlushStreamingFunc=0.002649ms, BlockTillAllRequestsFinished=0.001986ms, ResetLoadersForSaveUnMarkAllObjects=0.053633ms, TagPackageExports=0.009269ms, BeginCacheForCookedPlatformData=0.002649ms, SerializeImports=0.013575ms, GatherLocalizableTextData=0.002317ms, MarkNames=0.004303ms, SerializeSummary=0.005960ms, SerializeNames=0.015892ms, SerializeGatherableTextData=0.001986ms, BuildExportMap=0.008609ms, SortExportsNonSeekfree=0.002980ms, SortExportsSeekfreeConstructor=0.006288ms, SortExportsSeekfreeInner=0.051647ms, SortExportsSeekfree=0.002317ms, BuildDependencyMap=0.004634ms, SerializeImportMap=0.002649ms, SerializeExportMap=0.001986ms, SerializeDependencyMap=0.001986ms, SerializeStringAssetReferenceMap=0.001326ms, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.009600ms, SerializeExports=0.007283ms, SerializeBulkData=0.006624ms, AsyncWrite=0.040721ms, UnaccountedTime=0.064891ms, RunGuid=RunIDE94475A94526F146B0B150BA374BCB8F
SavePackageTransactionId6BFC95004ADF91E15679FC85FA7ED5DF_55, Filename=C:/Users/Matt/Documents/GitHub/P3NGUIN/MyProject19/Saved/Cooked/WindowsNoEditor/Engine/Content/EngineSounds/Voice.uasset, FlushAsyncLoading=0.003643ms, FlushStreamingFunc=0.002317ms, BlockTillAllRequestsFinished=0.001986ms, ResetLoadersForSaveUnMarkAllObjects=0.051979ms, TagPackageExports=0.008609ms, BeginCacheForCookedPlatformData=0.002980ms, SerializeImports=0.012580ms, GatherLocalizableTextData=0.002649ms, MarkNames=0.003312ms, SerializeSummary=0.005629ms, SerializeNames=0.013243ms, SerializeGatherableTextData=0.001654ms, BuildExportMap=0.008278ms, SortExportsNonSeekfree=0.003308ms, SortExportsSeekfreeConstructor=0.005960ms, SortExportsSeekfreeInner=0.031453ms, SortExportsSeekfree=0.002649ms, BuildDependencyMap=0.004303ms, SerializeImportMap=0.002649ms, SerializeExportMap=0.001986ms, SerializeDependencyMap=0.001986ms, SerializeStringAssetReferenceMap=0.001658ms, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.007942ms, SerializeExports=0.006624ms, SerializeBulkData=0.006620ms, AsyncWrite=0.039067ms, UnaccountedTime=0.062242ms, RunGuid=RunIDE94475A94526F146B0B150BA374BCB8F
SavePackageTransactionId6BFC95004ADF91E15679FC85FA7ED5DF_56, Filename=C:/Users/Matt/Documents/GitHub/P3NGUIN/MyProject19/Saved/Cooked/WindowsNoEditor/Engine/Content/EngineMeshes/Cylinder.uasset, FlushAsyncLoading=0.003643ms, FlushStreamingFunc=0.002317ms, BlockTillAllRequestsFinished=0.001989ms, ResetLoadersForSaveUnMarkAllObjects=0.051975ms, TagPackageExports=0.046015ms, BeginCacheForCookedPlatformData=0.003312ms, SerializeImports=0.053305ms, GatherLocalizableTextData=0.002980ms, MarkNames=0.004962ms, SerializeSummary=0.005629ms, SerializeNames=0.021189ms, SerializeGatherableTextData=0.001654ms, BuildExportMap=0.014897ms, SortExportsNonSeekfree=0.007287ms, SortExportsSeekfreeConstructor=0.006288ms, SortExportsSeekfreeInner=1.137227ms, SortExportsSeekfree=0.005629ms, BuildDependencyMap=0.007946ms, SerializeImportMap=0.003312ms, SerializeExportMap=0.002649ms, SerializeDependencyMap=0.001986ms, SerializeStringAssetReferenceMap=0.001654ms, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.010263ms, SerializeExports=0.058930ms, SerializeBulkData=0.008278ms, AsyncWrite=0.051644ms, UnaccountedTime=0.071514ms, RunGuid=RunIDE94475A94526F146B0B150BA374BCB8F
SavePackageTransactionId6BFC95004ADF91E15679FC85FA7ED5DF_57, Filename=C:/Users/Matt/Documents/GitHub/P3NGUIN/MyProject19/Saved/Cooked/WindowsNoEditor/Engine/Content/EngineMaterials/DefaultMaterial.uasset, FlushAsyncLoading=0.006620ms, FlushStreamingFunc=0.002980ms, BlockTillAllRequestsFinished=0.002980ms, ResetLoadersForSaveUnMarkAllObjects=0.154942ms, TagPackageExports=1.430225ms, BeginCacheForCookedPlatformData=0.010595ms, SerializeImports=1.456708ms, GatherLocalizableTextData=0.003971ms, MarkNames=0.013243ms, SerializeSummary=0.009932ms, SerializeNames=0.124484ms, SerializeGatherableTextData=0.001986ms, BuildExportMap=0.138387ms, SortExportsNonSeekfree=0.470452ms, SortExportsSeekfreeConstructor=0.008605ms, SortExportsSeekfreeInner=1.926500ms, SortExportsSeekfree=0.007283ms, BuildDependencyMap=0.024498ms, SerializeImportMap=0.006951ms, SerializeExportMap=0.009272ms, SerializeDependencyMap=0.004634ms, SerializeStringAssetReferenceMap=0.002317ms, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.021849ms, SerializeExports=3.668923ms, SerializeBulkData=0.024498ms, AsyncWrite=0.293989ms, UnaccountedTime=0.139382ms, RunGuid=RunIDE94475A94526F146B0B150BA374BCB8F
SavePackageTransactionId6BFC95004ADF91E15679FC85FA7ED5DF_58, Filename=C:/Users/Matt/Documents/GitHub/P3NGUIN/MyProject19/Saved/Cooked/WindowsNoEditor/Engine/Content/EngineTireTypes/DefaultTireType.uasset, FlushAsyncLoading=0.006620ms, FlushStreamingFunc=0.002980ms, BlockTillAllRequestsFinished=0.003312ms, ResetLoadersForSaveUnMarkAllObjects=0.067536ms, TagPackageExports=0.007614ms, BeginCacheForCookedPlatformData=0.002977ms, SerializeImports=0.013907ms, GatherLocalizableTextData=0.002649ms, MarkNames=0.003971ms, SerializeSummary=0.007287ms, SerializeNames=0.011254ms, SerializeGatherableTextData=0.016887ms, BuildExportMap=0.009932ms, SortExportsNonSeekfree=0.003971ms, SortExportsSeekfreeConstructor=0.008941ms, SortExportsSeekfreeInner=0.020526ms, SortExportsSeekfree=0.002317ms, BuildDependencyMap=0.005629ms, SerializeImportMap=0.002649ms, SerializeExportMap=0.001986ms, SerializeDependencyMap=0.001986ms, SerializeStringAssetReferenceMap=0.001658ms, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.009269ms, SerializeExports=0.005960ms, SerializeBulkData=0.006288ms, AsyncWrite=0.041053ms, UnaccountedTime=0.072837ms, RunGuid=RunIDE94475A94526F146B0B150BA374BCB8F
DDCTransactionIdA720C9034420BC8A44F841A76903152C_162, CachedDataProbablyExists, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_09053A42486F57C671A2B9B0F6272__7081BA232D94CF58FB5C793F5EA542CA762D0E8E, StartTime=2015.11.29-16.52.13, HierarchicalDDC, Duration=0.019863ms, RunGuid=RunIDE94475A94526F146B0B150BA374BCB8F
SavePackageTransactionId6BFC95004ADF91E15679FC85FA7ED5DF_59, Filename=C:/Users/Matt/Documents/GitHub/P3NGUIN/MyProject19/Saved/Cooked/WindowsNoEditor/Engine/Content/EngineResources/AICON-Red.uasset, FlushAsyncLoading=0.003308ms, FlushStreamingFunc=0.002649ms, BlockTillAllRequestsFinished=0.002317ms, ResetLoadersForSaveUnMarkAllObjects=0.056282ms, TagPackageExports=0.048004ms, BeginCacheForCookedPlatformData=0.034429ms, SerializeImports=0.046685ms, GatherLocalizableTextData=0.002317ms, MarkNames=0.003308ms, SerializeSummary=0.005297ms, SerializeNames=0.010595ms, SerializeGatherableTextData=0.001986ms, BuildExportMap=0.006624ms, SortExportsNonSeekfree=0.002977ms, SortExportsSeekfreeConstructor=0.006955ms, SortExportsSeekfreeInner=0.145007ms, SortExportsSeekfree=0.002317ms, BuildDependencyMap=0.004306ms, SerializeImportMap=0.002317ms, SerializeExportMap=0.001986ms, SerializeDependencyMap=0.001986ms, SerializeStringAssetReferenceMap=0.001326ms, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.008937ms, SerializeExports=0.043370ms, SerializeBulkData=0.007287ms, AsyncWrite=0.042375ms, UnaccountedTime=0.116538ms, RunGuid=RunIDE94475A94526F146B0B150BA374BCB8F
DDCTransactionIdA720C9034420BC8A44F841A76903152C_163, GetCachedData, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_09053A42486F57C671A2B9B0F6272__7081BA232D94CF58FB5C793F5EA542CA762D0E8E, StartTime=2015.11.29-16.52.13, HierarchicalDDC, DataSize=6014 bytes, Retrieved=true, Duration=0.178445ms, RunGuid=RunIDE94475A94526F146B0B150BA374BCB8F
DDCTransactionIdA720C9034420BC8A44F841A76903152C_164, CachedDataProbablyExists, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B07BB94C4024838454154883B7876__59CB28ED8FB21C25306FDB3AEC6027252B011A56, StartTime=2015.11.29-16.52.13, HierarchicalDDC, Duration=0.009600ms, RunGuid=RunIDE94475A94526F146B0B150BA374BCB8F
SavePackageTransactionId6BFC95004ADF91E15679FC85FA7ED5DF_60, Filename=C:/Users/Matt/Documents/GitHub/P3NGUIN/MyProject19/Saved/Cooked/WindowsNoEditor/Engine/Content/EngineResources/AICON-Green.uasset, FlushAsyncLoading=0.003640ms, FlushStreamingFunc=0.002652ms, BlockTillAllRequestsFinished=0.001986ms, ResetLoadersForSaveUnMarkAllObjects=0.058930ms, TagPackageExports=0.047673ms, BeginCacheForCookedPlatformData=0.034101ms, SerializeImports=0.045687ms, GatherLocalizableTextData=0.002317ms, MarkNames=0.002980ms, SerializeSummary=0.005957ms, SerializeNames=0.010267ms, SerializeGatherableTextData=0.001986ms, BuildExportMap=0.006288ms, SortExportsNonSeekfree=0.003312ms, SortExportsSeekfreeConstructor=0.006624ms, SortExportsSeekfreeInner=0.132758ms, SortExportsSeekfree=0.001986ms, BuildDependencyMap=0.004303ms, SerializeImportMap=0.003308ms, SerializeExportMap=0.002980ms, SerializeDependencyMap=0.001989ms, SerializeStringAssetReferenceMap=0.001654ms, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.008941ms, SerializeExports=1.117028ms, SerializeBulkData=0.014901ms, AsyncWrite=0.056282ms, UnaccountedTime=0.139382ms, RunGuid=RunIDE94475A94526F146B0B150BA374BCB8F
DDCTransactionIdA720C9034420BC8A44F841A76903152C_165, GetCachedData, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B07BB94C4024838454154883B7876__59CB28ED8FB21C25306FDB3AEC6027252B011A56, StartTime=2015.11.29-16.52.13, HierarchicalDDC, DataSize=6014 bytes, Retrieved=true, Duration=0.130773ms, RunGuid=RunIDE94475A94526F146B0B150BA374BCB8F
SavePackageTransactionId6BFC95004ADF91E15679FC85FA7ED5DF_61, Filename=C:/Users/Matt/Documents/GitHub/P3NGUIN/MyProject19/Saved/Cooked/WindowsNoEditor/Engine/Content/Tutorial/Basics/LevelEditorAttract.uasset, FlushAsyncLoading=0.008937ms, FlushStreamingFunc=0.003312ms, BlockTillAllRequestsFinished=0.003643ms, ResetLoadersForSaveUnMarkAllObjects=0.080779ms, TagPackageExports=0.086080ms, BeginCacheForCookedPlatformData=0.004634ms, SerializeImports=0.044692ms, GatherLocalizableTextData=0.003312ms, MarkNames=0.004966ms, SerializeSummary=0.009932ms, SerializeNames=0.304915ms, SerializeGatherableTextData=0.004306ms, BuildExportMap=0.020858ms, SortExportsNonSeekfree=0.005629ms, SortExportsSeekfreeConstructor=0.008278ms, SortExportsSeekfreeInner=2.027139ms, SortExportsSeekfree=0.008941ms, BuildDependencyMap=0.011917ms, SerializeImportMap=0.003312ms, SerializeExportMap=0.002649ms, SerializeDependencyMap=0.002317ms, SerializeStringAssetReferenceMap=0.002317ms, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.015557ms, SerializeExports=0.033110ms, SerializeBulkData=0.008937ms, AsyncWrite=0.065550ms, UnaccountedTime=0.089388ms, RunGuid=RunIDE94475A94526F146B0B150BA374BCB8F
SavePackageTransactionId6BFC95004ADF91E15679FC85FA7ED5DF_62, Filename=C:/Users/Matt/Documents/GitHub/P3NGUIN/MyProject19/Saved/Cooked/WindowsNoEditor/Engine/Content/Tutorial/Basics/LevelEditorOverview.uasset, FlushAsyncLoading=0.006288ms, FlushStreamingFunc=0.002980ms, BlockTillAllRequestsFinished=0.003643ms, ResetLoadersForSaveUnMarkAllObjects=0.065882ms, TagPackageExports=0.168845ms, BeginCacheForCookedPlatformData=0.004634ms, SerializeImports=0.163216ms, GatherLocalizableTextData=0.003312ms, MarkNames=0.005629ms, SerializeSummary=0.007283ms, SerializeNames=0.075482ms, SerializeGatherableTextData=0.001989ms, BuildExportMap=0.023507ms, SortExportsNonSeekfree=0.005625ms, SortExportsSeekfreeConstructor=0.008609ms, SortExportsSeekfreeInner=0.401258ms, SortExportsSeekfree=0.002977ms, BuildDependencyMap=0.006624ms, SerializeImportMap=0.005960ms, SerializeExportMap=0.002649ms, SerializeDependencyMap=0.001989ms, SerializeStringAssetReferenceMap=0.001986ms, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.009600ms, SerializeExports=0.175796ms, SerializeBulkData=0.008609ms, AsyncWrite=0.053965ms, UnaccountedTime=0.079457ms, RunGuid=RunIDE94475A94526F146B0B150BA374BCB8F
DDCTransactionIdA720C9034420BC8A44F841A76903152C_166, CachedDataProbablyExists, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_2140CA5B4637C285519D6D91BA9973B__42CF69DB21C149F8C8271914F4141A7EA80E9870, StartTime=2015.11.29-16.52.14, HierarchicalDDC, Duration=0.010595ms, RunGuid=RunIDE94475A94526F146B0B150BA374BCB8F
SavePackageTransactionId6BFC95004ADF91E15679FC85FA7ED5DF_63, Filename=C:/Users/Matt/Documents/GitHub/P3NGUIN/MyProject19/Saved/Cooked/WindowsNoEditor/Engine/Content/Tutorial/Basics/TutorialAssets/icon_tab_Levels_40x.uasset, FlushAsyncLoading=0.014566ms, FlushStreamingFunc=0.008937ms, BlockTillAllRequestsFinished=0.003975ms, ResetLoadersForSaveUnMarkAllObjects=0.133090ms, TagPackageExports=0.056945ms, BeginCacheForCookedPlatformData=0.035755ms, SerializeImports=0.288691ms, GatherLocalizableTextData=0.002980ms, MarkNames=0.004966ms, SerializeSummary=0.010263ms, SerializeNames=0.021189ms, SerializeGatherableTextData=0.001986ms, BuildExportMap=0.009932ms, SortExportsNonSeekfree=0.003975ms, SortExportsSeekfreeConstructor=0.235390ms, SortExportsSeekfreeInner=0.169177ms, SortExportsSeekfree=0.002317ms, BuildDependencyMap=0.006955ms, SerializeImportMap=0.003312ms, SerializeExportMap=0.003643ms, SerializeDependencyMap=0.002317ms, SerializeStringAssetReferenceMap=0.001986ms, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.342490ms, SerializeExports=0.108592ms, SerializeBulkData=0.012249ms, AsyncWrite=0.167850ms, UnaccountedTime=0.217512ms, RunGuid=RunIDE94475A94526F146B0B150BA374BCB8F
DDCTransactionIdA720C9034420BC8A44F841A76903152C_167, GetCachedData, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_2140CA5B4637C285519D6D91BA9973B__42CF69DB21C149F8C8271914F4141A7EA80E9870, StartTime=2015.11.29-16.52.14, HierarchicalDDC, DataSize=6712 bytes, Retrieved=true, Duration=0.138387ms, RunGuid=RunIDE94475A94526F146B0B150BA374BCB8F
SavePackageTransactionId6BFC95004ADF91E15679FC85FA7ED5DF_64, Filename=C:/Users/Matt/Documents/GitHub/P3NGUIN/MyProject19/Saved/Cooked/WindowsNoEditor/Engine/Content/Tutorial/ContentIntroCurve.uasset, FlushAsyncLoading=0.007614ms, FlushStreamingFunc=0.003312ms, BlockTillAllRequestsFinished=0.003308ms, ResetLoadersForSaveUnMarkAllObjects=0.083100ms, TagPackageExports=0.009269ms, BeginCacheForCookedPlatformData=0.002980ms, SerializeImports=0.018872ms, GatherLocalizableTextData=0.002980ms, MarkNames=0.003308ms, SerializeSummary=0.008941ms, SerializeNames=0.014566ms, SerializeGatherableTextData=0.001658ms, BuildExportMap=0.009932ms, SortExportsNonSeekfree=0.003971ms, SortExportsSeekfreeConstructor=0.009272ms, SortExportsSeekfreeInner=0.075813ms, SortExportsSeekfree=0.002980ms, BuildDependencyMap=0.029795ms, SerializeImportMap=0.002317ms, SerializeExportMap=0.002317ms, SerializeDependencyMap=0.001986ms, SerializeStringAssetReferenceMap=0.001658ms, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.010595ms, SerializeExports=0.010263ms, SerializeBulkData=0.007614ms, AsyncWrite=0.045687ms, UnaccountedTime=0.076145ms, RunGuid=RunIDE94475A94526F146B0B150BA374BCB8F
SavePackageTransactionId6BFC95004ADF91E15679FC85FA7ED5DF_65, Filename=C:/Users/Matt/Documents/GitHub/P3NGUIN/MyProject19/Saved/Cooked/WindowsNoEditor/Engine/Plugins/2D/Paper2D/Content/MaskedUnlitSpriteMaterial.uasset, FlushAsyncLoading=0.012912ms, FlushStreamingFunc=0.005957ms, BlockTillAllRequestsFinished=0.003975ms, ResetLoadersForSaveUnMarkAllObjects=0.135075ms, TagPackageExports=0.011589ms, BeginCacheForCookedPlatformData=0.004303ms, SerializeImports=0.026815ms, GatherLocalizableTextData=0.003643ms, MarkNames=0.003971ms, SerializeSummary=0.009600ms, SerializeNames=0.029799ms, SerializeGatherableTextData=0.001986ms, BuildExportMap=0.012580ms, SortExportsNonSeekfree=0.003975ms, SortExportsSeekfreeConstructor=0.008278ms, SortExportsSeekfreeInner=0.316501ms, SortExportsSeekfree=0.003312ms, BuildDependencyMap=0.008278ms, SerializeImportMap=0.003312ms, SerializeExportMap=0.002649ms, SerializeDependencyMap=0.175137ms, SerializeStringAssetReferenceMap=0.003308ms, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.013575ms, SerializeExports=0.016883ms, SerializeBulkData=0.008278ms, AsyncWrite=0.055950ms, UnaccountedTime=0.093032ms, RunGuid=RunIDE94475A94526F146B0B150BA374BCB8F
SavePackageTransactionId6BFC95004ADF91E15679FC85FA7ED5DF_66, Filename=C:/Users/Matt/Documents/GitHub/P3NGUIN/MyProject19/Saved/Cooked/WindowsNoEditor/Engine/Plugins/2D/Paper2D/Content/DefaultSpriteMaterial.uasset, FlushAsyncLoading=0.009600ms, FlushStreamingFunc=0.003640ms, BlockTillAllRequestsFinished=0.004306ms, ResetLoadersForSaveUnMarkAllObjects=0.108920ms, TagPackageExports=0.476081ms, BeginCacheForCookedPlatformData=0.009600ms, SerializeImports=0.243668ms, GatherLocalizableTextData=0.003975ms, MarkNames=0.006288ms, SerializeSummary=0.010926ms, SerializeNames=0.062902ms, SerializeGatherableTextData=0.001989ms, BuildExportMap=0.032444ms, SortExportsNonSeekfree=0.038736ms, SortExportsSeekfreeConstructor=0.008605ms, SortExportsSeekfreeInner=1.182914ms, SortExportsSeekfree=0.006624ms, BuildDependencyMap=1.055121ms, SerializeImportMap=0.003971ms, SerializeExportMap=0.003312ms, SerializeDependencyMap=0.002649ms, SerializeStringAssetReferenceMap=0.001986ms, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.018209ms, SerializeExports=0.252604ms, SerializeBulkData=0.009935ms, AsyncWrite=0.083759ms, UnaccountedTime=0.137065ms, RunGuid=RunIDE94475A94526F146B0B150BA374BCB8F
SavePackageTransactionId6BFC95004ADF91E15679FC85FA7ED5DF_67, Filename=C:/Users/Matt/Documents/GitHub/P3NGUIN/MyProject19/Saved/Cooked/WindowsNoEditor/Engine/Plugins/2D/Paper2D/Content/DummySpriteTexture.uasset, FlushAsyncLoading=0.006951ms, FlushStreamingFunc=0.002980ms, BlockTillAllRequestsFinished=0.003312ms, ResetLoadersForSaveUnMarkAllObjects=0.068862ms, TagPackageExports=0.007614ms, BeginCacheForCookedPlatformData=0.002649ms, RunGuid=RunIDE94475A94526F146B0B150BA374BCB8F
DDCTransactionIdA720C9034420BC8A44F841A76903152C_168, CachedDataProbablyExists, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_584A79B6465982423406428F0D776__7E8A800BE546D16101C11CDEE1840BBEF21B464F, StartTime=2015.11.29-16.52.14, HierarchicalDDC, Duration=0.010591ms, RunGuid=RunIDE94475A94526F146B0B150BA374BCB8F
SavePackageTransactionId6BFC95004ADF91E15679FC85FA7ED5DF_68, Filename=C:/Users/Matt/Documents/GitHub/P3NGUIN/MyProject19/Saved/Cooked/WindowsNoEditor/Engine/Plugins/2D/Paper2D/Content/PlaceholderTextures/DummySpriteTexture.uasset, FlushAsyncLoading=0.010263ms, FlushStreamingFunc=0.005294ms, BlockTillAllRequestsFinished=0.003643ms, ResetLoadersForSaveUnMarkAllObjects=0.142030ms, TagPackageExports=0.110246ms, BeginCacheForCookedPlatformData=0.035424ms, SerializeImports=0.054959ms, GatherLocalizableTextData=0.002977ms, MarkNames=0.003643ms, SerializeSummary=0.008937ms, SerializeNames=0.013243ms, SerializeGatherableTextData=0.001658ms, BuildExportMap=0.009269ms, SortExportsNonSeekfree=0.004303ms, SortExportsSeekfreeConstructor=0.008941ms, SortExportsSeekfreeInner=0.157256ms, SortExportsSeekfree=0.002321ms, BuildDependencyMap=0.006620ms, SerializeImportMap=0.002649ms, SerializeExportMap=0.002317ms, SerializeDependencyMap=0.001986ms, SerializeStringAssetReferenceMap=0.001986ms, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.012580ms, SerializeExports=0.046682ms, SerializeBulkData=0.011589ms, AsyncWrite=0.064891ms, UnaccountedTime=0.154607ms, RunGuid=RunIDE94475A94526F146B0B150BA374BCB8F
DDCTransactionIdA720C9034420BC8A44F841A76903152C_169, GetCachedData, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_584A79B6465982423406428F0D776__7E8A800BE546D16101C11CDEE1840BBEF21B464F, StartTime=2015.11.29-16.52.14, HierarchicalDDC, DataSize=6309 bytes, Retrieved=true, Duration=0.127461ms, RunGuid=RunIDE94475A94526F146B0B150BA374BCB8F
DDCTransactionIdA720C9034420BC8A44F841A76903152C_170, GetCachedData, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_584A79B6465982423406428F0D776__61F5CC0CCE5D9CD95B83AA1CB53B0B5FE41AC847, StartTime=2015.11.29-16.52.14, HierarchicalDDC, DataSize=16647 bytes, Retrieved=true, Duration=0.633005ms, RunGuid=RunIDE94475A94526F146B0B150BA374BCB8F
SavePackageTransactionId6BFC95004ADF91E15679FC85FA7ED5DF_69, Filename=C:/Users/Matt/Documents/GitHub/P3NGUIN/MyProject19/Saved/Cooked/WindowsNoEditor/Engine/Plugins/2D/Paper2D/Content/OpaqueUnlitSpriteMaterial.uasset, FlushAsyncLoading=0.004962ms, FlushStreamingFunc=0.002652ms, BlockTillAllRequestsFinished=0.002977ms, ResetLoadersForSaveUnMarkAllObjects=0.069194ms, TagPackageExports=0.085082ms, BeginCacheForCookedPlatformData=0.003312ms, SerializeImports=0.098661ms, GatherLocalizableTextData=0.002980ms, MarkNames=0.003971ms, SerializeSummary=0.005960ms, SerializeNames=0.036750ms, SerializeGatherableTextData=0.001986ms, BuildExportMap=0.008937ms, SortExportsNonSeekfree=0.003312ms, SortExportsSeekfreeConstructor=0.006292ms, SortExportsSeekfreeInner=0.370797ms, SortExportsSeekfree=0.002649ms, BuildDependencyMap=0.004966ms, SerializeImportMap=0.003308ms, SerializeExportMap=0.001989ms, SerializeDependencyMap=0.001986ms, SerializeStringAssetReferenceMap=0.001654ms, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.010263ms, SerializeExports=0.129450ms, SerializeBulkData=0.007946ms, AsyncWrite=0.050653ms, UnaccountedTime=0.078462ms, RunGuid=RunIDE94475A94526F146B0B150BA374BCB8F
SavePackageTransactionId6BFC95004ADF91E15679FC85FA7ED5DF_70, Filename=C:/Users/Matt/Documents/GitHub/P3NGUIN/MyProject19/Saved/Cooked/WindowsNoEditor/Engine/Plugins/2D/Paper2D/Content/DefaultPaperTerrainMaterial.uasset, FlushAsyncLoading=0.005960ms, FlushStreamingFunc=0.002980ms, BlockTillAllRequestsFinished=0.002649ms, ResetLoadersForSaveUnMarkAllObjects=0.070184ms, TagPackageExports=0.009600ms, BeginCacheForCookedPlatformData=0.002980ms, SerializeImports=0.017878ms, GatherLocalizableTextData=0.002649ms, MarkNames=0.004634ms, SerializeSummary=0.006620ms, SerializeNames=0.020199ms, SerializeGatherableTextData=0.001986ms, BuildExportMap=0.009600ms, SortExportsNonSeekfree=0.003971ms, SortExportsSeekfreeConstructor=0.006624ms, SortExportsSeekfreeInner=0.201952ms, SortExportsSeekfree=0.002980ms, BuildDependencyMap=0.005629ms, SerializeImportMap=0.002649ms, SerializeExportMap=0.002317ms, SerializeDependencyMap=0.001989ms, SerializeStringAssetReferenceMap=0.001654ms, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.009269ms, SerializeExports=0.009272ms, SerializeBulkData=0.006951ms, AsyncWrite=0.043701ms, UnaccountedTime=0.070851ms, RunGuid=RunIDE94475A94526F146B0B150BA374BCB8F
SavePackageTransactionId6BFC95004ADF91E15679FC85FA7ED5DF_71, Filename=C:/Users/Matt/Documents/GitHub/P3NGUIN/MyProject19/Saved/Cooked/WindowsNoEditor/Engine/Plugins/2D/Paper2D/Content/DummySprite.uasset, FlushAsyncLoading=0.004303ms, FlushStreamingFunc=0.002317ms, BlockTillAllRequestsFinished=0.002321ms, ResetLoadersForSaveUnMarkAllObjects=0.056941ms, TagPackageExports=0.018205ms, BeginCacheForCookedPlatformData=0.002980ms, SerializeImports=0.028804ms, GatherLocalizableTextData=0.002649ms, MarkNames=0.004303ms, SerializeSummary=0.006292ms, SerializeNames=0.030790ms, SerializeGatherableTextData=0.001986ms, BuildExportMap=0.013575ms, SortExportsNonSeekfree=0.005629ms, SortExportsSeekfreeConstructor=0.006620ms, SortExportsSeekfreeInner=0.456877ms, SortExportsSeekfree=0.003312ms, BuildDependencyMap=0.005629ms, SerializeImportMap=0.003312ms, SerializeExportMap=0.002317ms, SerializeDependencyMap=0.001986ms, SerializeStringAssetReferenceMap=0.001654ms, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.009272ms, SerializeExports=0.020526ms, SerializeBulkData=0.007283ms, AsyncWrite=0.042375ms, UnaccountedTime=0.065554ms, RunGuid=RunIDE94475A94526F146B0B150BA374BCB8F
